N,I (Estimation),Erreur
2,9.012177231543944,
4,9.203569161568296,0.06379731000811735
8,9.257115406061216,0.01784874816430637
16,9.271632834616419,0.004839142851734479
32,9.275447523425948,0.0012715629365095775
64,9.27642484468806,0.0003257737540375653
128,9.276671471186933,8.220883295765684e-05
256,9.276733305187868,2.06113336448747e-05
512,9.27674877566553,5.156825887198124e-06
1024,9.276752644050765,1.2894617450835237e-06
2048,9.276753611195215,3.223814832864491e-07
4096,9.276753852984347,8.059637757185101e-08
8192,9.27675391343182,2.014915760166029e-08
16384,9.276753928543705,5.037295025545063e-09
32768,9.276753932321673,1.2593227201781094e-09
65536,9.27675393326613,3.1481898569533467e-10
131072,9.27675393350231,7.87263587653797e-11
262144,9.276753933561238,1.964295393008797e-11
524288,9.276753933575941,4.900968519905291e-12
1048576,9.276753933579528,1.1954881529163686e-12
2097152,9.276753933580249,2.404002922655006e-13
4194304,9.276753933581181,3.1086244689504383e-13
8388608,9.276753933580535,2.1553129651389705e-13
16777216,9.27675393358111,1.9184653865522705e-13
33554432,9.27675393358063,1.5987211554602254e-13
67108864,9.276753933580434,6.572520305780927e-14
