N,I (Estimation),Erreur
2,15.498594150911801,
4,15.824965582578672,0.10879047722229036
8,15.916102525449348,0.030378980956892104
16,15.940777704620574,0.008225059723741879
32,15.947256210098386,0.0021595018259373453
64,15.94891538201966,0.0005530573070912462
128,15.949334020808198,0.00013954626284610563
256,15.949438978086377,3.4985759392943315e-05
512,15.94946523752019,8.753144604393507e-06
1024,15.949471803665206,2.1887150053837936e-06
2048,15.949473445282358,5.472057171829192e-07
4096,15.949473855691718,1.368031199433517e-07
8192,15.949473958294394,3.4200892192378283e-08
16384,15.949473983945065,8.550223640213517e-09
32768,15.949473990357614,2.137516238083966e-09
65536,15.949473991960986,5.344572192219251e-10
131072,15.949473992361746,1.3358677127447058e-10
262144,15.94947399246208,3.344465445328145e-11
524288,15.94947399248636,8.093673879254007e-12
1048576,15.949473992493663,2.4342009889248098e-12
2097152,15.949473992495118,4.849454171562684e-13
4194304,15.949473992493461,5.524469770534779e-13
8388608,15.949473992495136,5.583681665181454e-13
16777216,15.949473992497712,8.585724723767877e-13
33554432,15.94947399249816,1.4921397450962104e-13
67108864,15.949473992495468,8.970602038971265e-13
